0x804d7fe4 ntosk__GUID_DEVCLASS_TAPEDRIVE
0x804d7ff4 ntosk__GUID_DEVCLASS_UNKNOWN
0x804d8004 ntosk__GUID_DEVCLASS_USB
0x804d8014 ntosk__GUID_DEVCLASS_VOLUME
0x804d8024 ntosk__GUID_DEVCLASS_VOLUMESNAPSHOT
0x804d8034 ntosk__GUID_DEVCLASS_WCEUSBS
0x804d8044 ntosk__GUID_DEVCLASS_FSFILTER_ACTIVITYMONITOR
0x804d8054 ntosk__GUID_DEVCLASS_FSFILTER_UNDELETE
0x804d8064 ntosk__GUID_DEVCLASS_FSFILTER_ANTIVIRUS
0x804d8074 ntosk__GUID_DEVCLASS_FSFILTER_REPLICATION
0x804d8084 ntosk__GUID_DEVCLASS_FSFILTER_CONTINUOUSBACKUP
0x804d8094 ntosk__GUID_DEVCLASS_FSFILTER_CONTENTSCREENER
0x804d80a4 ntosk__GUID_DEVCLASS_FSFILTER_QUOTAMANAGEMENT
0x804d80b4 ntosk__GUID_DEVCLASS_FSFILTER_SYSTEMRECOVERY
0x804d80c4 ntosk__GUID_DEVCLASS_FSFILTER_CFSMETADATASERVER
0x804d80d4 ntosk__GUID_DEVCLASS_FSFILTER_HSM
0x804d80e4 ntosk__GUID_DEVCLASS_FSFILTER_COMPRESSION
0x804d80f4 ntosk__GUID_DEVCLASS_FSFILTER_ENCRYPTION
0x804d8104 ntosk__GUID_DEVCLASS_FSFILTER_PHYSICALQUOTAMANAGEMENT
0x804d8114 ntosk__GUID_DEVCLASS_FSFILTER_OPENFILEBACKUP
0x804d8124 ntosk__GUID_DEVCLASS_FSFILTER_SECURITYENHANCER
0x804d8134 ntosk__GUID_DEVCLASS_FSFILTER_COPYPROTECTION
0x804d8144 ntosk__GUID_DEVCLASS_FSFILTER_SYSTEM
0x804d8154 ntosk__GUID_DEVCLASS_FSFILTER_INFRASTRUCTURE
0x804d8164 ntosk__GUID_IO_VOLUME_CHANGE
0x804d8174 ntosk__GUID_IO_VOLUME_DISMOUNT
0x804d8184 ntosk__GUID_IO_VOLUME_DISMOUNT_FAILED
0x804d8194 ntosk__GUID_IO_VOLUME_MOUNT
0x804d81a4 ntosk__GUID_IO_VOLUME_LOCK
0x804d81b4 ntosk__GUID_IO_VOLUME_LOCK_FAILED
0x804d81c4 ntosk__GUID_IO_VOLUME_UNLOCK
0x804d81d4 ntosk__GUID_IO_VOLUME_NAME_CHANGE
0x804d81e4 ntosk__GUID_IO_VOLUME_PHYSICAL_CONFIGURATION_CHANGE
0x804d81f4 ntosk__GUID_IO_VOLUME_DEVICE_INTERFACE
0x804d8204 ntosk__GUID_IO_MEDIA_ARRIVAL
0x804d8214 ntosk__GUID_IO_MEDIA_REMOVAL
0x804d8224 ntosk__GUID_IO_CDROM_EXCLUSIVE_LOCK
0x804d8234 ntosk__GUID_IO_CDROM_EXCLUSIVE_UNLOCK
0x804d8244 ntosk__GUID_IO_DEVICE_BECOMING_READY
0x804d8254 ntosk__GUID_IO_DEVICE_EXTERNAL_REQUEST
0x804d8264 ntosk__GUID_IO_MEDIA_EJECT_REQUEST
0x804d8274 ntosk__GUID_IO_DRIVE_REQUIRES_CLEANING
0x804d8284 ntosk__GUID_IO_TAPE_ERASE
0x804d8294 ntosk__GUID_DEVICE_EVENT_RBC
0x804d82a4 ntosk__GUID_IO_DISK_CLONE_ARRIVAL
0x804d82b4 ntosk__GUID_IO_DISK_LAYOUT_CHANGE
0x804d82c4 ntosk__GUID_HWPROFILE_QUERY_CHANGE
0x804d82d4 ntosk__GUID_HWPROFILE_CHANGE_CANCELLED
0x804d82e4 ntosk__GUID_HWPROFILE_CHANGE_COMPLETE
0x804d82f4 ntosk__GUID_DEVICE_INTERFACE_ARRIVAL
0x804d8304 ntosk__GUID_DEVICE_INTERFACE_REMOVAL
0x804d8314 ntosk__GUID_TARGET_DEVICE_QUERY_REMOVE
0x804d8324 ntosk__GUID_TARGET_DEVICE_REMOVE_CANCELLED
0x804d8334 ntosk__GUID_TARGET_DEVICE_REMOVE_COMPLETE
0x804d8344 ntosk__GUID_PNP_CUSTOM_NOTIFICATION
0x804d8354 ntosk__GUID_PNP_POWER_NOTIFICATION
0x804d8364 ntosk__GUID_BUS_INTERFACE_STANDARD
0x804d8374 ntosk__GUID_AGP_TARGET_BUS_INTERFACE_STANDARD
0x804d8384 ntosk__GUID_PCI_BUS_INTERFACE_STANDARD
0x804d8394 ntosk__GUID_ARBITER_INTERFACE_STANDARD
0x804d83a4 ntosk__GUID_TRANSLATOR_INTERFACE_STANDARD
0x804d83b4 ntosk__GUID_ACPI_INTERFACE_STANDARD
0x804d83c4 ntosk__GUID_INT_ROUTE_INTERFACE_STANDARD
0x804d83d4 ntosk__GUID_PCMCIA_BUS_INTERFACE_STANDARD
0x804d83e4 ntosk__GUID_ACPI_REGS_INTERFACE_STANDARD
0x804d83f4 ntosk__GUID_LEGACY_DEVICE_DETECTION_STANDARD
0x804d8404 ntosk__GUID_PCI_DEVICE_PRESENT_INTERFACE
0x804d8414 ntosk__GUID_MF_ENUMERATION_INTERFACE
0x804d8424 ntosk__GUID_ACPI_CMOS_INTERFACE_STANDARD
0x804d8434 ntosk__GUID_ACPI_PORT_RANGES_INTERFACE_STANDARD
0x804d8444 ntosk__GUID_BUS_TYPE_INTERNAL
0x804d8454 ntosk__GUID_BUS_TYPE_PCMCIA
0x804d8464 ntosk__GUID_BUS_TYPE_PCI
0x804d8474 ntosk__GUID_BUS_TYPE_ISAPNP
0x804d8484 ntosk__GUID_BUS_TYPE_EISA
0x804d8494 ntosk__GUID_BUS_TYPE_MCA
0x804d84a4 ntosk__GUID_BUS_TYPE_LPTENUM
0x804d84b4 ntosk__GUID_BUS_TYPE_USBPRINT
0x804d84c4 ntosk__GUID_BUS_TYPE_DOT4PRT
0x804d84d4 ntosk__GUID_BUS_TYPE_SERENUM
0x804d84e4 ntosk__GUID_BUS_TYPE_USB
0x804d84f4 ntosk__GUID_BUS_TYPE_1394
0x804d8504 ntosk__GUID_BUS_TYPE_HID
0x804d8514 ntosk__GUID_BUS_TYPE_AVC
0x804d8524 ntosk__GUID_BUS_TYPE_IRDA
0x804d8534 ntosk__GUID_BUS_TYPE_SD
0x804d8544 ntosk__GUID_POWER_DEVICE_ENABLE
